"","exchange","symbol","price","size","primary exchange"
"1241","K","ACLS",1.242,1300,"Q"
"1243","P","ACLS",1.235625,3768,"Q"
"1245","Q","ACLS",1.23285714285714,3800,"Q"
"1247","Y","ACLS",1.23,200,"Q"
"1250","Z","ACLS",1.242,500,"Q"
"1253","B","ACM",29.0065117131783,27694,"N"
"1255","C","ACM",28.93,100,"N"
"1258","D1","ACM",29.0180630388889,53151,"N"
"1261","D2","ACM",29.0035211267606,12024,"N"
"1264","J","ACM",29.0552170434783,2300,"N"
"1267","K","ACM",29.0304120267261,68517,"N"
"1270","N","ACM",29.0347316006711,37111,"N"
"1273","P","ACM",28.9958547948718,15656,"N"
"1276","Q","ACM",29.0135081532258,59821,"N"
"1279","W","ACM",28.974761952381,2100,"N"
"1281","X","ACM",28.9375,400,"N"
"1284","Y","ACM",28.9938458461538,1300,"N"
"1287","Z","ACM",29.0275510612245,11100,"N"
"1289","B","ACMP",41.7133333333333,1200,"N"
"1292","D1","ACMP",41.7401691183036,88063,"N"
"1295","D2","ACMP",41.7476363636364,6333,"N"
"1296","J","ACMP",41.6606666,1500,"N"
"1299","K","ACMP",41.6756436039604,14182,"N"
"1302","N","ACMP",41.6105626354167,14740,"N"
"1305","P","ACMP",41.6552240746269,7800,"N"
"1308","Q","ACMP",41.6801333733333,8507,"N"
"1309","W","ACMP",41.6350005,200,"N"
"1311","Y","ACMP",41.60999975,400,"N"
"1314","Z","ACMP",41.65520028,2500,"N"
"1317","B","ACN",77.4901477383966,56451,"N"
"1319","C","ACN",77.5456668333333,4200,"N"
"1322","D1","ACN",77.4585741776605,557908,"N"
"1324","D2","ACN",77.4062564102564,27752,"N"
