"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"861","CSCO","C","Midday",0.00972225930955675,21.0945832994249,0.00972220632765028,17320,"Q"
"867","CSCO","J","Midday",0.00896568335568509,21.1289232405425,0.00960968466804023,682481,"Q"
"870","CSCO","K","Midday",0.0083536677483162,21.0964838643064,0.00865215907039073,1117365,"Q"
"872","CSCO","M","Midday",0.00970599230598001,21.1120588639203,0.00970599230598001,6200,"Q"
"875","CSCO","P","Midday",0.00615156466913148,21.1058563590452,0.0077538199449428,1875664,"Q"
"878","CSCO","Q","Midday",0.007660192601821,21.1310056624379,0.00944103948992449,1988467,"Q"
"881","CSCO","W","Midday",0.0099591858532964,21.1570612537618,0.0099591858532964,48431,"Q"
"884","CSCO","X","Midday",0.00940441263133082,21.0645923913459,0.00962381153644813,123006,"Q"
"887","CSCO","Y","Midday",0.00894046212590192,21.1271258594902,0.009678933125853,365049,"Q"
"890","CSCO","Z","Midday",0.00721048503252572,21.1285283694239,0.00954376766798763,2333767,"Q"
"896","CVS","B","Midday",0.00958471552908244,55.0718102610783,0.00994076148692507,39693,"N"
"899","CVS","C","Midday",0.00975557652915396,55.0925612100741,0.00999915890577363,17896,"N"
"905","CVS","J","Midday",0.00925855315133427,55.0819776299294,0.00964047721262728,128972,"N"
"908","CVS","K","Midday",0.00833599982867997,55.0889481674745,0.00863415704604408,260657,"N"
"911","CVS","N","Midday",0.00940756726620802,55.0952612264832,0.00972392523466651,353311,"N"
"914","CVS","P","Midday",0.00850532199645507,55.0735538937109,0.00999985746228545,267830,"N"
"917","CVS","Q","Midday",0.00830895624811642,55.0860237642283,0.00998224320680522,248246,"N"
"920","CVS","W","Midday",0.0100821510690158,55.1279510435511,0.0100821510690158,20306,"N"
"922","CVS","X","Midday",0.00941231671501608,55.1039704715504,0.0102946337531595,3600,"N"
"925","CVS","Y","Midday",0.00971029806828153,55.1149095866991,0.00974651004957116,37000,"N"
"928","CVS","Z","Midday",0.00831470324308534,55.0924617251422,0.00964022540474319,200587,"N"
