Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
RFG;;;500;;;;;;;;;
RING;300;;;100;;;;;;;;
RJA;;;22448;27300;;;1300;;;;3800;
RJI;;;12000;;;;1513;600;;;;400
RJN;;;;1000;;;;;;;;
RLY;;;225;;;;;;;;;
ROM;;200;200;;;;;;;;;100
RPG;;;1000;;;;323;;;;;
RSP;;;2760;1200;4320;;500;;;;;581
RSX;500;;28295;4800;2200;;109599;8781;;;1400;3100
RTH;;;;;;;1000;;;;;
RTL;;;;;;;200;;;;;
RUSL;;;2569;;200;;;;;;;
RUSS;;;2544;400;200;;100;;;;;
RWM;100;;3597;;1500;;;7100;;1600;;1260
RWO;;;130;;;;898;;;;;100
RWR;;;1900;100;;;793;100;;;;100
RWX;100;;22926;900;3226;;9606;100;;;100;
RXL;;;2255;;;;618;;;;;
RYU;;;;;;;300;400;;;;
SAA;;;;;;;;100;;;;
SBB;;;100;;;;200;;;;;
SBM;;;1700;;;;;;;;;
SBND;;;;;;;2200;2850;;;;
SCHA;;;1100;;;;;1467;;;;
SCHB;;;2849;;;;1415;;;;;
SCHD;;;2650;;;;5050;3650;;;;
SCHE;;;475;;;;;;;;;
SCHF;;;4758;;;;11695;1100;;;;1305
SCHG;;;135;360;;;;151;;;;
SCHH;;;2409;;;;1800;;;;;200
SCHM;;;1133;;;;100;;;;;
SCHO;;;200;;;;;;;;;
SCHP;;;4405;;;;116;300;;;;
SCHR;;;275;;;;;;;;;
SCHV;;;823;;;;275;;;;;
SCHX;;;2258;;;;100;1200;;;;
SCHZ;;;200;;;;;;;;;
SCIF;;;520;;;;300;;;;;
SCIN;;;;;;;1150;;;;;
SCJ;;;1400;;;;100;;;;;
SCO;;;6913;;550;;1500;1451;;;;800
SCPB;;;1670;;;;438;;;;;100
SCZ;;;270;;;;;;;;;
SDIV;;;9790;;100;;2999;1200;;;;1300
SDOG;;;100;;;;;130;;;;809
SDOW;200;;9250;;;;200;1800;;100;;100
SDS;5900;4121;224481;21644;33392;;18555;29124;;400;5000;23348
SDY;400;;8735;400;208;;6005;200;;;100;300
SDYL;;;4995;;;;;;;;;
SFLA;;;;;;;100;;;;;
SGG;;;200;;100;;500;;;;;
SGOL;;;;;;;400;;;;;
SH;200;;39634;100;1986;;3502;5900;;600;600;3326
SHM;;;1859;;;;;;;;;
SHV;;;;;100;;100;;;;;
SHY;1600;;7130;;;;194;697;;;;
SIL;;;1720;;300;;11497;100;;;;
SIVR;;;3030;;5000;;1600;2500;;;10600;
SJNK;;;3613;;;;4100;100;;;;1900
SKF;;;4349;;200;;3350;2908;;;;1700
SLV;14500;3100;164399;9500;8646;;30131;12893;100;;8586;19085
SLVP;;;;;;;100;;;;;
SLX;;;1398;;;;200;;;;;
SLYG;;;;;;;100;;;;;
SMDD;100;;;;;;;;;;;
SMH;507;;27615;1080;700;;9515;6239;;;1115;4380
SMN;100;;6283;100;100;;200;;;;;
SOIL;;;1400;;;;;;;;;
SOXL;;;1300;;1200;;1278;569;;;;669
SOXS;;;21198;;;;700;420;;;100;
SPGH;;;;;;;;200;;;;
