"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"MANU",0,0,0,5854,0,305,0,3250,1600,1400,0,0,100,2400
"MAR",0,13249,1400,360485,11200,51581,0,101551,92645,75764,6800,3900,10446,60910
"MARK",0,0,0,12464,0,2400,0,0,500,900,0,0,0,500
"MARPS",0,0,0,400,0,0,0,0,447,100,0,0,0,0
"MAS",0,83199,2200,691404,79016,149559,0,326784,193293,279042,6600,94900,68461,237173
"MASC",0,0,0,5083,0,100,0,0,100,2000,0,0,100,0
"MASI",0,3100,100,33888,1727,17857,0,0,7023,22265,800,0,700,6300
"MAT",0,13900,1200,433912,29608,83189,0,0,119200,179929,5206,1300,7200,162087
"MATH",0,0,0,743,0,0,0,0,0,0,0,0,0,0
"MATL",0,0,0,1700,0,0,0,0,400,0,0,0,0,100
"MATR",0,100,0,8499,100,600,0,0,100,300,0,0,0,100
"MATW",0,1799,0,155050,100,1149,0,0,1600,4705,0,0,200,1300
"MATX",0,2400,100,30310,1263,959,0,8346,6039,11501,200,0,502,4561
"MAV",0,400,0,29058,0,3094,0,2500,500,200,0,300,200,0
"MAYS",0,0,0,300,0,0,0,0,0,0,0,0,0,0
"MBB",0,5011,0,214004,918,3062,0,0,1944,32020,400,0,2343,2000
"MBFI",0,3900,0,103514,3500,8392,0,0,10600,31492,600,200,1800,11300
"MBG",0,0,0,3323,0,0,0,0,700,0,0,0,0,0
"MBI",0,75093,4600,887560,83771,139302,0,195972,166611,140554,5048,2000,21664,90698
"MBLX",0,0,0,2750,0,0,0,0,0,200,0,0,0,0
"MBRG",0,0,0,200,0,200,0,0,0,0,0,0,0,0
"MBT",0,6300,800,179643,18300,65605,0,114419,62857,52880,4004,2900,4000,37163
"MBTF",0,0,0,5895,0,595,0,0,200,1239,0,0,0,0
"MBVT",0,0,0,0,0,0,0,0,0,100,0,0,0,0
