;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
AKR;0;1122;0;2493;400;300;0;6769;2654;1300;100;0;630;1300
AKRX;0;2826;0;22526;900;1700;0;0;1200;9450;300;0;700;2900
AKS;0;49878;0;171564;19875;20730;0;62176;25246;26315;981;100;19205;13800
AL;0;1101;0;5600;300;600;0;4831;800;2030;100;0;740;840
ALB;0;800;100;33883;300;2352;0;6985;3700;2000;300;0;1400;1300
ALCO;0;0;0;0;0;0;0;0;100;0;0;0;0;0
ALD;0;200;0;3163;100;0;0;0;3000;0;0;0;0;0
ALDW;0;569;0;10723;500;441;0;1400;400;2500;0;0;200;5878
ALE;0;225;100;4800;300;2000;0;7245;1121;600;0;0;0;400
ALEX;0;200;0;1100;0;300;0;4196;500;200;0;0;100;100
ALG;0;0;0;100;0;0;0;500;0;0;0;0;0;0
ALGN;0;887;0;19600;1600;6398;0;0;2100;6324;200;0;2100;2171
ALGT;0;400;0;6534;0;500;0;0;1000;3230;0;0;0;700
ALJ;0;3000;100;13400;200;2117;0;5441;2500;2000;1400;100;1300;3405
ALK;0;500;100;11652;200;1450;0;3810;2807;15769;100;0;0;1300
ALKS;0;2300;100;11060;1700;3846;0;0;3900;11072;800;0;2655;5871
ALL;0;26612;0;90187;3300;9185;0;30395;4100;16336;400;400;500;9142
ALLT;0;1100;100;16100;1199;1688;0;0;600;6546;500;0;100;800
ALNY;0;400;0;3500;400;600;0;0;200;2795;0;0;0;400
ALOG;0;100;0;2300;0;0;0;0;200;1449;0;0;100;0
ALR;0;1544;0;2300;200;500;0;2000;300;200;200;0;100;1800
ALSK;0;200;0;9100;500;1890;0;0;1300;800;0;0;200;4835
ALSN;0;200;0;5952;300;400;0;3287;107;400;300;0;0;100
ALTR;0;2900;100;78014;6639;6777;0;0;12368;23803;200;0;4100;23973
ALTV;0;0;0;111;0;0;0;0;0;0;0;0;0;0
ALU;0;20200;0;117895;20400;6000;0;91679;6100;6416;0;6900;24506;32995
ALV;0;800;0;8848;200;1000;0;4959;700;1600;0;0;700;1042
ALXA;0;100;0;1212;100;0;0;0;0;200;0;0;0;200
ALXN;0;800;0;10499;500;1700;0;0;1410;8116;100;0;1500;1600
AMAG;0;500;0;10731;500;300;0;0;1000;4089;0;0;300;600
AMAP;0;200;0;4000;100;505;0;0;695;1305;0;0;100;395
AMAT;700;22602;0;239504;28682;21702;0;0;24357;67306;100;300;8572;13899
AMBA;0;100;0;7590;300;500;0;0;600;1314;0;0;0;100
AMBT;0;0;0;0;0;0;0;0;0;0;0;0;0;200
AMCC;0;2200;0;14036;1800;8871;0;0;1700;11022;300;0;1900;7935
AMCX;0;100;0;5600;100;800;0;0;3178;1400;0;0;100;842
AMD;0;45722;0;400226;18244;12900;0;73029;34400;31052;5700;1200;14084;39050
